,Happiness Score,GDP per Capita,Social Support,Health,Freedom,Generosity,Corruption Perception,Overall Rank,clusters,cluster
495,0.8941752277477407,0.7619054388618625,1.1805361275907533,1.1139846336280124,-0.2092557623952317,-0.400512339265734,-0.4828641063559821,-1.146984665232455,4,mediumpurple
496,0.8843346126290443,0.20425617464227921,1.1865768554842524,0.7140294905825547,0.932835779427194,-0.6301018079997504,-0.6161972117358011,-1.1243010345812767,4,mediumpurple
497,0.8744939975103481,-0.07346638382281004,1.2953099575672353,0.3712107965435909,0.2692742132286898,-0.7625572707309136,-0.39397536943610284,-1.1016174039300985,4,mediumpurple
498,0.8467613549031136,0.11829443035546564,1.277187773886738,0.6528118666470253,0.7605649882025821,-1.1864147514706362,-0.6961970749636927,-1.0789337732789201,4,mediumpurple
499,0.8413937466565519,-0.5253165781509309,0.6731149845368338,0.09777207629822655,0.9774985771520934,-0.1532621421675625,-0.5450862221998977,-1.056250142627742,4,mediumpurple
500,0.8387099425332709,0.16237737614357506,1.2500044983659928,0.7630035897309781,1.1114869703267916,-0.5859499870893625,0.20157916792708885,-1.0335665119765638,4,mediumpurple
501,0.8342369356611364,1.3878832690530156,0.7788277226730669,0.6691365663631665,1.2965185609013745,0.5266758998524093,0.3438011469988959,-1.0108828813253854,4,mediumpurple
502,0.8315531315378563,0.7927635009135391,0.8633979131820536,0.19980144952410878,0.37136060802845977,-0.8685216409158443,-0.047309295448573305,-0.9881992506742072,4,mediumpurple
503,0.8065042930539019,1.1233855943243591,1.2258415867919965,1.7302420479123406,1.1497693683767052,0.5708277207627971,2.886019022907445,-0.9655156200230289,2,violet
504,0.7877176641909365,0.31225939182314705,0.6429113450693386,0.34672374696937913,-0.60484054224434,1.0123459298666746,-0.6517527065037529,-0.9428319893718506,4,mediumpurple
505,0.776982447697813,0.5106326478696389,1.4886132501592049,1.5547515259638232,-0.011463372470677335,-0.47998561690443203,-0.5184196011239339,-0.9201483587206724,4,mediumpurple
506,0.7322523789764668,-0.13077421334735226,1.1895972194310023,0.20796379938217935,0.5117294008781436,-0.8596912767337667,-0.8295301803435114,-0.8974647280694942,4,mediumpurple
507,0.6714194855154361,0.4489165237662862,1.3496765086087268,-0.08179962057932613,0.7924669865775102,-0.22390505562418275,-1.0073076541832702,-0.8747810974183159,4,mediumpurple
508,0.6544220594013243,0.42026260900401485,1.485592886212455,0.7834094643761546,-0.6176013415943113,-0.6919143572742933,-1.05175202264321,-0.8520974667671376,4,mediumpurple
509,0.6490544511547626,-0.4702128959157942,0.5613615185071017,0.2242884990983205,0.06510142362915015,-1.1599236589244035,-0.44730861158803037,-0.8294138361159593,4,mediumpurple
510,0.6257948154196626,-0.7743852218537488,0.8271535458210593,0.47324016976947264,0.48620780217820103,0.10281841911268652,-0.03842042175658536,-0.8067302054647811,4,mediumpurple
511,0.609691990679978,0.34532160116422883,1.2167804949517476,0.803815339021331,0.6074353960029278,-0.7802179990950688,-0.6073083380438132,-0.7840465748136028,4,mediumpurple
512,0.5935891659402935,0.702393462047915,0.9691106513182872,0.46507781991140207,0.9136945804022372,0.41188116548540094,-0.08286479021652507,-0.7613629441624246,4,mediumpurple
513,0.5855377535704509,-0.6619737100940701,1.6275499917096832,0.0855285515111207,1.7431465381503677,1.1624621209619932,1.126022031893834,-0.7386793135112463,2,violet
514,0.573907935702901,1.0021574934070585,0.7727869947795678,0.3712107965435909,0.6584785934028129,-0.259226512352493,-0.23397564298031998,-0.7159956828600681,4,mediumpurple
515,0.5640673205842046,-0.007341965140645923,1.1231492126025127,0.5018083942727196,1.188051766426619,1.480355231516785,-0.918418917263391,-0.6933120522088898,3,black
516,0.4996560216254658,0.5392865626319102,1.376859784129472,1.4772092023121528,-1.083370517868261,-0.5241374378148196,-0.9273077909553789,-0.6706284215577115,4,mediumpurple
517,0.47550178451593866,-0.2872686708951404,0.8603775492353044,0.620162467214743,0.6712393927527841,-0.7272358140026034,-0.1095314112924889,-0.6479447909065332,4,mediumpurple
518,0.4602935611506814,-0.46800874862638875,0.16871420542966342,-0.44910536419250163,0.9073141807272516,-0.11794068543925228,-0.38508649574411485,-0.625261160255355,4,mediumpurple
519,0.45671515565297327,0.39160869424174394,1.4553892467449598,0.5385389686340373,-0.6431229402942538,-1.5043078620254282,-1.1228630121791134,-0.6025775296041768,4,mediumpurple
520,0.45313675015526594,0.4400999346086643,1.39196160386322,1.109903458698977,1.1625301677266766,-0.32103906162703594,-0.7228636960396564,-0.5798938989529985,4,mediumpurple
521,0.45045294603198505,0.21307276379990112,0.5251171511461074,0.5793507179243902,0.49258820185318664,-0.9568252827366199,-1.167307380639053,-0.5572102683018202,4,mediumpurple
522,0.4397177295388615,0.2836054770608757,1.2349026786322448,0.35488609682744976,-0.5601777445194407,-0.9215038260083096,-0.5895305906598373,-0.534526637650642,4,mediumpurple
523,0.423614904799177,0.6054109813140743,1.259065590206241,1.6486185493316348,0.6520981937278273,-1.0362985603753179,0.15713479946714912,-0.5118430069994637,4,mediumpurple
524,0.4021444718129307,0.15576493427535887,1.032538294200027,0.4079413709049085,0.8498905836523809,0.42954189384955604,-0.7317525697316443,-0.48915937634828544,4,mediumpurple
525,0.4012498704385035,-0.4415589811535233,1.3526968725554767,0.4446719452662256,0.7924669865775102,-0.8861823692799994,-0.900641169879415,-0.4664757456971072,4,mediumpurple
526,0.38783084982209987,0.5436948572107212,0.47981169194486417,1.5139397766734703,-1.3194453058427293,-0.18858359889587276,-0.7228636960396564,-0.4437921150459289,0,pink
527,0.35204679484502277,0.462141407502719,0.5009542395721112,1.3262057299378476,0.28203501257866104,-0.1532621421675625,0.1926902942351009,-0.4211084843947507,4,mediumpurple
528,0.3296817604843493,0.2902179189290923,1.3104117773009833,0.061041501936908965,-0.3304833562199582,-1.1599236589244035,-0.9539744120313427,-0.3984248537435724,4,mediumpurple
529,0.3117897329958111,0.2725847406138486,1.4221652433307155,0.1916390996660382,0.020438625904250787,-0.4270034318119667,-0.10064253760050096,-0.37574122309239416,4,mediumpurple
530,0.2867408945118567,0.462141407502719,0.4405469606371207,1.3262057299378476,-0.17735376402030356,0.0498362340202214,-0.8650856751114633,-0.3530575924412159,4,mediumpurple
531,0.2777948807675876,-0.591440996833095,0.5371986069331055,-0.31034541660530185,0.9902593765020646,-0.48881598108650964,-0.6961970749636927,-0.33037396179003764,4,mediumpurple
